food_description,code,nutrient_amount,nutrient_name,nutrient_unit,food_category_id,food_category
"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS",700.0,28.1,Total lipid (fat),G,7.0,Sausages and Luncheon Meats
"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS",700.0,28.0,Total lipid (fat),G,7.0,Sausages and Luncheon Meats
"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS, MAPLE FLAVOR",700.0,32.5,Total lipid (fat),G,7.0,Sausages and Luncheon Meats
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",700.0,1370.0,Energy,kJ,7.0,Sausages and Luncheon Meats
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",700.0,13.3,Protein,G,7.0,Sausages and Luncheon Meats
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",700.0,28.7,Total lipid (fat),G,7.0,Sausages and Luncheon Meats
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",700.0,328.0,Energy,KCAL,7.0,Sausages and Luncheon Meats
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",700.0,3.37,"Carbohydrate, by difference",G,7.0,Sausages and Luncheon Meats
"Proximates, Onion rings, frozen, ALEXIA (CA2,NC) - NFY120675",1100.0,15.0,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Onion rings, frozen, Store brand/other (AL,MI) - NFY12068R",1100.0,15.7,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Onion rings, frozen, ORE-IDA (CA2,NC) - NFY12069K",1100.0,12.8,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Onion rings, frozen, ALEXIA (FL,MO) - NFY12068D",1100.0,15.8,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Onion rings, frozen, ORE-IDA (CA1,CT) - NFY120696",1100.0,12.6,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Onion rings, frozen, ALEXIA (CO,CT) - NFY12067K",1100.0,14.8,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Onion rings, frozen, ORE-IDA (NY,OK) - NFY1206AS",1100.0,13.7,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Onion rings, frozen, ALEXIA (IN,NY) - NFY12066A",1100.0,15.8,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Onion rings, frozen, Store brand/other (CO,IN) - NFY12069Z",1100.0,13.9,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Onion rings, frozen, ORE-IDA (FL,MO) - NFY1206AE",1100.0,12.6,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Onion rings, frozen, ALEXIA (AL,OK) - NFY12066P",1100.0,15.4,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",1100.0,1210.0,Energy,kJ,11.0,Vegetables and Vegetable Products
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",1100.0,4.52,Protein,G,11.0,Vegetables and Vegetable Products
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",1100.0,14.4,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",1100.0,36.3,"Carbohydrate, by difference",G,11.0,Vegetables and Vegetable Products
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",1100.0,288.0,Energy,KCAL,11.0,Vegetables and Vegetable Products
"Proximates, Pickles, kosher dill, spears, VLASIC (FL,MO) - NFY120HMY",1100.0,0.24,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Pickles, kosher dill, spears, VLASIC (CA2,NC) - NFY120HMD",1100.0,0.36,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Pickles, kosher dill, spears, VLASIC (IN,NY) - NFY120HLM",1100.0,0.3,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Pickles, kosher dill, spears, VLASIC (CO,CT) - NFY120HMM",1100.0,0.4,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Pickles, kosher dill, spears, CLAUSEN (IN,NY) - NFY120HNO",1100.0,0.3,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Pickles, kosher dill, spears, CLAUSEN (CA2,NC) - NFY120HOC",1100.0,0.24,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Pickles, kosher dill, spears, VLASIC (MI,OK) - NFY120HN9",1100.0,0.24,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Pickles, kosher dill, spears, VLASIC (AL,CA1) - NFY120HLX",1100.0,0.32,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Pickles, kosher dill, spears, CLAUSEN (CO,CT) - NFY120HOK",1100.0,0.2,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Pickles, kosher dill, spears, CLAUSEN (MI,OK) - NFY120HOV",1100.0,0.36,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Pickles, kosher dill, spears, CLAUSEN (AL,CA1) - NFY120HNX",1100.0,0.35,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Pickles, kosher dill, spears, store brand, AMERICAS CHOICE & SHOP RITE (NY,CT1) - NFY120HPJ",1100.0,0.28,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Pickles, kosher dill, spears, store brand, HY VEE & PUBLIX (MO1,FL) - NFY120HQO",1100.0,0.3,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Pickles, kosher dill, spears, store brand, FOOD LION & SUNNY SELECT (NC1,CA2) - NFY120HQ5",1100.0,0.28,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
"Proximates, Pickles, kosher dill, spears, store brand, SAFEWAY (CA1,CO1) - NFY120HPR",1100.0,0.25,Total lipid (fat),G,11.0,Vegetables and Vegetable Products
